                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3606,                 1.2857,                 1.0561,                0.86787,                0.93507,                0.96758,                0.68438,                0.98242,                 1.0984,                 1.0128,              0.0003466,              0.0003466,              0.0003466
                     35,                 1.0978,                 1.1392,                 1.0642,                0.88594,                0.91986,                 0.9731,                0.68027,                 1.0079,                 1.0994,                 1.0174,              0.0003268,              0.0003268,              0.0003268
                     36,                 1.0867,                 1.1602,                 1.0348,                0.85464,                0.92378,                0.96438,                0.67803,                 1.0242,                 1.1443,                 1.0207,               0.000307,               0.000307,               0.000307
                     37,                 1.2114,                 1.2238,                 1.0682,                 0.8452,                0.92046,                0.95355,                  0.676,                 1.0112,                 1.1375,                 1.0212,              0.0002872,              0.0002872,              0.0002872
                     38,                 1.0745,                 1.1025,                 1.0394,                0.87601,                0.91754,                0.92929,                0.65744,                0.98076,                 1.1489,                 1.0122,              0.0002674,              0.0002674,              0.0002674
                     39,                 1.0704,                 1.0598,                 1.0433,                0.88813,                0.92972,                0.94631,                0.68313,                0.93595,                 1.1083,                0.99497,              0.0002476,              0.0002476,              0.0002476
                     40,                 1.0827,                 1.1205,                0.99399,                0.95969,                0.96788,                0.98491,                0.73265,                 0.8761,                0.94661,                0.97506,              0.0002278,              0.0002278,              0.0002278
                     41,                 1.0858,                 1.2305,                 1.1338,                0.96906,                0.96007,                0.98626,                0.74136,                0.86874,                0.93351,                 0.9702,               0.000208,               0.000208,               0.000208
                     42,                 1.1082,                 1.1758,                 1.0897,                0.97457,                0.94195,                0.98667,                0.74063,                0.88918,                0.95725,                0.96978,              0.0001882,              0.0001882,              0.0001882
                     43,                 1.0047,                 1.1349,                 1.0432,                0.94096,                0.96034,                0.98292,                0.74007,                0.88667,                0.96759,                0.96788,              0.0001684,              0.0001684,              0.0001684
                     44,                 1.0321,                 1.1902,                 1.0519,                0.95942,                0.96275,                 0.9847,                0.73972,                0.86546,                0.97956,                0.96496,              0.0001486,              0.0001486,              0.0001486
                     45,                0.98901,                 1.1107,                 1.0314,                0.95392,                0.96304,                0.98501,                0.74048,                0.85133,                0.97217,                0.96541,              0.0001288,              0.0001288,              0.0001288
                     46,                0.92454,                 1.1297,                 1.0267,                0.95686,                0.95861,                0.98508,                0.74046,                0.84603,                0.94352,                0.96592,               0.000109,               0.000109,               0.000109
                     47,                 1.0059,                 1.1136,                   1.04,                0.95702,                0.96256,                0.98528,                 0.7418,                0.84031,                0.93284,                0.96227,               8.92e-05,               8.92e-05,               8.92e-05
                     48,                0.94135,                 1.0164,                0.99566,                0.95587,                0.96981,                0.98561,                0.74626,                0.81154,                0.91493,                0.95188,               6.94e-05,               6.94e-05,               6.94e-05
                     49,                0.90574,                0.99834,                  1.012,                0.95599,                0.96956,                0.98573,                 0.7494,                0.80442,                0.90868,                0.94927,               4.96e-05,               4.96e-05,               4.96e-05
                     50,                0.98053,                 1.0246,                 1.0563,                0.96884,                0.95453,                0.98574,                0.75628,                 0.7994,                0.89991,                0.94654,               2.98e-05,               2.98e-05,               2.98e-05
